"image","magazine_id","time","image_number","in_out","explicit","symbol","weapon","gruesome","narrative","strength","caption","outgroup","ingroup","crisis","solution","jihad","utopia","punish","unity","outplot","sinful","victim","occupy"
"D1_1","D1",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_2","D1",1,2,1,0,7,1,0,7,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"D1_3","D1",1,3,0,0,7,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_4","D1",1,4,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_5","D1",1,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_6","D1",1,6,0,0,2,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_7","D1",1,7,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_8","D1",1,8,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_9","D1",1,9,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_10","D1",1,10,0,0,2,1,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_11","D1",1,11,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_12","D1",1,12,-99,-99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1_13","D1",1,13,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_14","D1",1,14,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_15","D1",1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_16","D1",1,16,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D1_17","D1",1,17,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_18","D1",1,18,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_19","D1",1,19,0,0,0,0,1,5,2,1,0,1,1,0,0,0,0,0,0,0,1,0
"D1_20","D1",1,20,0,0,0,0,1,5,2,1,0,1,1,0,0,0,0,0,0,0,1,0
"D1_21","D1",1,21,0,0,0,0,1,5,2,1,0,1,1,0,0,0,0,0,0,0,1,0
"D1_22","D1",1,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_23","D1",1,23,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_24","D1",1,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_25","D1",1,25,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D1_26","D1",1,26,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D1_27","D1",1,27,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D1_28","D1",1,28,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_29","D1",1,29,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_30","D1",1,30,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_31","D1",1,31,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_31b","D1",1,32,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_32","D1",1,33,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_33","D1",1,34,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_34","D1",1,35,0,0,5,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D1_35","D1",1,36,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D1_36","D1",1,37,1,0,0,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1
