image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D1_1,D1,1,0,1,1,0,0,0,0,0
D1_2,D1,2,1,0,7,1,0,7,1,0
D1_3,D1,3,0,0,7,1,0,7,1,0
D1_4,D1,4,0,0,2,1,0,7,1,0
D1_5,D1,5,0,0,2,1,0,0,0,0
D1_6,D1,6,0,0,2,0,0,3,1,0
D1_7,D1,7,0,0,2,1,0,7,1,0
D1_8,D1,8,0,0,2,1,0,7,1,0
D1_9,D1,9,0,0,2,1,0,7,1,0
D1_10,D1,10,0,0,2,1,0,3,1,0
D1_11,D1,11,0,0,2,1,0,7,1,0
D1_12,D1,12,-99,-99,3,0,0,0,0,0
D1_13,D1,13,0,0,2,0,0,0,0,0
D1_14,D1,14,0,0,0,0,0,3,1,0
D1_15,D1,15,0,0,0,0,0,0,0,0
D1_16,D1,16,0,0,0,0,0,2,1,0
D1_17,D1,17,0,0,2,0,0,0,0,0
D1_18,D1,18,0,0,0,0,0,3,1,0
D1_19,D1,19,0,0,0,0,1,5,2,1
D1_20,D1,20,0,0,0,0,1,5,2,1
D1_21,D1,21,0,0,0,0,1,5,2,1
D1_22,D1,22,0,0,0,0,0,0,0,0
D1_23,D1,23,0,0,2,1,0,0,0,0
D1_24,D1,24,0,0,0,0,0,0,0,0
D1_25,D1,25,1,0,0,0,1,4,2,1
D1_26,D1,26,1,0,0,0,1,4,2,1
D1_27,D1,27,1,0,0,0,1,4,2,1
D1_28,D1,28,0,1,2,0,0,0,0,0
D1_29,D1,29,0,1,2,0,0,0,0,0
D1_30,D1,30,0,0,0,1,0,7,1,0
D1_31,D1,31,0,1,4,0,0,0,0,0
D1_31b,D1,32,0,0,2,0,0,0,0,0
D1_32,D1,33,0,0,2,0,0,0,0,0
D1_33,D1,34,0,1,3,0,0,0,0,0
D1_34,D1,35,0,0,5,0,0,2,1,0
D1_35,D1,36,0,0,0,1,0,0,0,1
D1_36,D1,37,1,0,0,0,0,8,1,0
D1_37,D1,38,1,0,0,0,0,0,0,0
D1_38,D1,39,0,0,0,1,0,0,0,1
D1_39,D1,40,0,0,2,0,0,3,2,1
D1_40,D1,41,0,0,2,0,0,0,0,0
D1_41,D1,42,0,0,2,0,0,7,2,1
D1_42,D1,43,0,0,0,1,0,0,0,1
D1_43,D1,44,0,0,0,0,1,5,2,1
D1_44,D1,45,-99,0,0,1,0,7,1,0
D1_45,D1,46,0,0,2,1,0,3,1,0
D1_46,D1,47,-99,0,0,1,0,0,0,0
D1_47,D1,48,-99,0,0,0,0,0,0,0
D1_48,D1,49,0,0,0,0,0,0,0,0
D1_49,D1,50,0,1,6,0,0,3,1,0
D1_50,D1,51,0,0,0,0,0,2,2,0
D1_51,D1,52,0,0,0,0,1,5,2,0
D1_52,D1,53,0,0,0,0,1,5,2,0
D1_53,D1,54,0,0,0,0,1,5,2,0
D1_54,D1,55,0,0,0,0,1,5,2,0
D1_55,D1,56,0,0,0,0,0,5,2,1
D1_55b,D1,57,0,0,0,0,0,5,2,0
D1_56,D1,58,0,0,0,0,0,3,2,1
D1_57,D1,59,0,0,0,1,0,4,2,1
D1_58,D1,60,0,0,0,1,0,4,2,1
D1_59,D1,61,1,0,0,0,0,7,2,1
D1_60,D1,62,0,0,2,1,0,0,0,0
D1_61,D1,63,0,0,2,1,0,7,2,1
D1_62,D1,64,0,0,0,1,0,7,1,0
D1_63,D1,65,0,0,2,0,0,3,1,0
D1_64,D1,66,0,0,0,0,0,2,1,0
D1_65,D1,67,0,0,2,0,0,3,2,0
D1_66,D1,68,0,0,7,1,0,0,0,0
D2_1,D2,1,-99,-99,7,0,0,0,0,0
D2_2,D2,2,0,0,2,0,0,3,0,0
D2_3,D2,3,0,0,0,0,0,3,2,0
D2_4,D2,4,0,1,2,0,0,0,0,0
D2_5,D2,5,-99,-99,3,0,0,0,0,0
D2_6,D2,6,-99,-99,7,0,0,0,0,0
D2_7,D2,7,0,1,5,1,0,2,1,0
D2_8,D2,8,-99,-99,3,0,0,0,0,0
D2_9,D2,9,0,0,5,0,0,2,2,0
D2_10,D2,10,0,0,2,1,0,3,1,0
D2_11,D2,11,0,0,0,1,0,7,1,0
D2_12,D2,12,1,0,0,0,1,4,2,1
D2_13,D2,13,0,0,0,0,0,0,0,1
D2_14,D2,14,-99,-99,0,1,0,7,1,1
D2_15,D2,15,0,1,0,1,0,7,1,1
D2_16,D2,16,0,1,0,1,0,7,1,1
D2_17,D2,17,1,1,5,0,0,2,1,1
D2_18,D2,18,1,1,5,0,0,2,1,1
D2_19,D2,19,0,0,0,0,0,0,0,1
D2_20,D2,20,0,0,0,0,0,0,0,0
D2_21,D2,21,0,0,0,0,0,2,2,1
D2_22,D2,22,0,0,0,0,0,2,1,0
D2_23,D2,23,0,0,5,0,0,2,1,1
D2_24,D2,24,0,0,5,0,0,2,1,0
D2_25,D2,25,1,1,5,0,0,2,1,1
D2_26,D2,26,1,1,5,0,0,2,1,1
D2_27,D2,27,1,1,5,0,0,2,1,1
D2_28,D2,28,1,1,5,0,0,2,1,1
D2_29,D2,29,1,0,0,1,0,8,2,0
D2_30,D2,30,0,0,0,1,0,7,1,0
D2_31,D2,31,0,0,0,0,0,0,0,0
D2_32,D2,32,0,0,0,0,1,7,2,0
D2_33,D2,33,0,0,0,1,0,7,0,1
D2_34,D2,34,1,0,0,0,0,0,0,1
D2_35,D2,35,1,0,0,0,0,6,1,1
D2_36,D2,36,1,0,0,0,0,6,1,1
D2_37,D2,37,0,0,2,1,0,3,1,0
D2_38,D2,38,1,0,0,0,0,0,0,1
D2_39,D2,39,0,0,0,1,0,0,0,0
D2_40,D2,40,1,0,0,0,0,0,0,1
D2_41,D2,41,1,0,0,0,0,0,0,0
D2_42,D2,42,0,0,0,0,0,0,0,0
D2_43,D2,43,1,0,2,0,0,4,2,1
D2_44,D2,44,-99,-99,0,1,0,2,2,1
D2_45,D2,45,1,0,2,1,0,4,2,1
D2_46,D2,46,1,0,0,0,1,4,2,1
D2_47,D2,47,0,0,0,0,0,2,2,1
D2_48,D2,48,0,0,2,0,0,2,1,1
D2_49,D2,49,0,0,0,0,0,2,2,1
D2_50,D2,50,0,0,2,0,0,2,1,1
D2_51,D2,51,0,0,0,0,0,4,2,1
D2_52,D2,52,0,0,0,1,0,4,2,1
D2_53,D2,53,0,0,0,1,0,7,2,1
D2_54,D2,54,1,1,0,1,0,7,2,1
D2_55,D2,55,0,1,2,0,0,7,1,1
D2_56,D2,56,0,0,2,1,0,7,2,1
D2_57,D2,57,0,0,2,1,0,7,1,1
D2_58,D2,58,0,0,2,0,0,0,0,1
D2_59,D2,59,0,0,0,0,0,2,1,1
D2_60,D2,60,0,0,0,0,0,2,2,1
D2_61,D2,61,0,0,2,1,0,7,2,1
D2_62,D2,62,0,0,0,1,0,7,2,1
D2_63,D2,63,1,1,0,0,0,7,2,1
D2_64,D2,64,1,0,0,1,0,4,2,1
D2_65,D2,65,0,0,2,1,0,7,1,0
D2_66,D2,66,-99,-99,2,0,0,7,1,0
D2_67,D2,67,1,0,0,1,0,2,2,1
D2_68,D2,68,1,1,0,0,0,4,2,1
D2_69,D2,69,0,0,2,0,0,0,0,0
D2_70,D2,70,0,0,0,1,0,3,2,1
D2_71,D2,71,0,0,0,1,0,7,1,1
D2_72,D2,72,0,0,0,1,0,7,1,0
D2_73,D2,73,0,0,0,1,0,7,1,0
D2_74,D2,74,0,0,2,0,0,3,2,0
D3_1,D3,1,0,0,0,0,0,0,0,0
D3_2,D3,2,0,0,0,0,0,0,0,0
D3_3,D3,3,1,0,0,0,0,0,0,0
D3_4,D3,4,-99,-99,0,0,0,5,1,1
D3_5,D3,5,0,0,8,1,1,4,2,1
D3_6,D3,6,0,0,0,0,0,0,0,0
D3_7,D3,7,0,0,2,1,0,0,0,0
D3_8,D3,8,0,0,2,1,0,7,1,0
D3_9,D3,9,0,0,0,0,0,0,0,0
D3_10,D3,10,-99,-99,5,0,0,0,0,1
D3_11,D3,11,0,1,6,0,0,0,0,0
